"","year","meanprice","cpi","corrected"
"1",1990,129.384358974359,8.55441597430324,1744.39867696123
"2",1991,238.1875,11.010330701559,2495.01371691738
"3",1992,287.258461538462,13.4092895487289,2470.70785794037
"4",1993,297.706923076923,14.7209120241884,2332.42964061818
"5",1994,332.1425,16.713276338199,2292.0136053985
"6",1995,364.087692307692,20.588957549981,2039.51063814357
"7",1996,472.520833333333,24.1966565187529,2252.26732653604
"8",1997,465.286666666667,27.3982298355733,1958.63016089813
"9",1998,530.078333333333,30.5945329414166,1998.25339895514
"10",1999,565.308333333333,33.6680241611605,1936.520471099
"11",2000,630.71,37.3689898938883,1946.58195459422
"12",2001,669.015714285714,41.5643972382724,1856.38977227386
"13",2002,699.779333333333,45.3736976802736,1778.73509589628
"14",2003,747.200714285714,49.6604071753459,1735.32705269426
"15",2004,842.523076923077,55.7761016775064,1742.15977869408
"16",2005,979.047142857143,63.4720743989455,1778.99712856811
"17",2006,1362.75166666667,70.752658185495,2221.40781698359
"18",2007,1533.96071428571,77.3732188769725,2286.53528369578
"19",2008,2340.48833333333,87.7593017633211,3075.86773403795
"20",2009,2341.99,94.6429885526893,2853.98000216686
"21",2010,1499.48,100,1729.39823923139
"22",2011,1682.25,104.883012481369,1849.86365240746
"23",2012,1658.68,109.607014360928,1745.33418485935
"24",2013,1729.16,115.333198124109,1729.16
